elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5023985664,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
101,7.4,5023985664,26256531456,2,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
203,8.6,5023985664,26256531456,2,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
305,6.2,5023985664,26256531456,0,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
407,8.0,5023985664,26256531456,0,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
509,7.4,5024243712,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
612,6.1,5024243712,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
714,7.9,5024243712,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
817,7.9,5024243712,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
920,7.8,5024243712,26256531456,0,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1023,9.3,5028630528,26256531456,0,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1127,7.3,5028630528,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1230,7.3,5028630528,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1333,7.3,5028630528,26256531456,2,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1437,7.4,5028630528,26256531456,2,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1540,7.3,5028630528,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1644,9.0,5028630528,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1747,6.7,5028630528,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1850,7.3,5046177792,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
1952,15.2,5091586048,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2055,9.2,5139066880,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2159,6.1,5187321856,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2262,8.5,5221642240,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2365,6.7,5268865024,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2469,7.3,5317894144,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2572,8.5,5366407168,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2676,6.1,5416210432,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2778,7.9,5465239552,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2881,6.7,5514268672,26256531456,1,163577856,1639383040,17102733312,0,354418688,1418592256,6442319872
2984,8.6,5556330496,26256531456,0,165675008,1641480192,17102733312,0,354418688,1418592256,6442319872
3087,8.8,5553422336,26256531456,0,165675008,1641480192,17102733312,0,354418688,1418592256,6442319872
3195,8.2,5562671104,26256531456,2,165675008,1641480192,17102733312,0,354418688,1420689408,6442319872
3307,13.3,5588463616,26256531456,7,153092096,1645674496,17102733312,3,150994944,1234042880,6442319872
3413,17.2,5588463616,26256531456,7,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
3522,14.0,5627916288,26256531456,20,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
3636,13.3,5628432384,26256531456,20,153092096,1645674496,17102733312,36,150994944,1234042880,6442319872
3753,15.3,5628432384,26256531456,25,153092096,1645674496,17102733312,68,150994944,1234042880,6442319872
3856,14.5,5628432384,26256531456,25,153092096,1645674496,17102733312,68,150994944,1234042880,6442319872
3965,14.9,5628432384,26256531456,29,153092096,1645674496,17102733312,38,150994944,1234042880,6442319872
4075,16.7,5628690432,26256531456,29,153092096,1645674496,17102733312,38,150994944,1234042880,6442319872
4180,21.6,5630226432,26256531456,17,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
4294,12.2,5630226432,26256531456,17,153092096,1645674496,17102733312,44,150994944,1234042880,6442319872
4406,13.7,5630226432,26256531456,17,153092096,1645674496,17102733312,44,150994944,1234042880,6442319872
4525,19.7,5631258624,26256531456,30,153092096,1645674496,17102733312,49,195035136,1278083072,6442319872
4648,24.2,5633581056,26256531456,30,153092096,1645674496,17102733312,51,216006656,1299054592,6442319872
4758,24.0,5633581056,26256531456,16,153092096,1645674496,17102733312,55,278921216,1361969152,6442319872
4875,26.4,5633581056,26256531456,16,153092096,1645674496,17102733312,55,322961408,1406009344,6442319872
4986,22.6,5635129344,26256531456,15,153092096,1645674496,17102733312,47,364904448,1447952384,6442319872
5095,37.0,5635129344,26256531456,15,153092096,1645674496,17102733312,65,406847488,1489895424,6442319872
5201,32.6,5635129344,26256531456,20,153092096,1645674496,17102733312,65,429916160,1512964096,6442319872
5322,22.0,5635129344,26256531456,14,153092096,1645674496,17102733312,51,492830720,1575878656,6442319872
5432,29.1,5635129344,26256531456,14,153092096,1645674496,17102733312,59,513802240,1596850176,6442319872
5540,16.9,5637451776,26256531456,19,153092096,1645674496,17102733312,59,534773760,1617821696,6442319872
5666,15.2,5637451776,26256531456,19,153092096,1645674496,17102733312,55,534773760,1617821696,6442319872
5793,15.7,5637451776,26256531456,16,153092096,1645674496,17102733312,61,534773760,1617821696,6442319872
5907,18.0,5637451776,26256531456,13,153092096,1645674496,17102733312,61,534773760,1617821696,6442319872
6028,17.9,5637967872,26256531456,13,153092096,1645674496,17102733312,56,534773760,1617821696,6442319872
6139,18.8,5637967872,26256531456,14,153092096,1645674496,17102733312,50,534773760,1617821696,6442319872
6276,17.1,5637967872,26256531456,14,153092096,1645674496,17102733312,56,534773760,1617821696,6442319872
6405,16.3,5637967872,26256531456,14,153092096,1645674496,17102733312,56,534773760,1617821696,6442319872
6521,18.7,5637967872,26256531456,16,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
6634,13.7,5637967872,26256531456,16,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
6756,18.6,5637967872,26256531456,15,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
6886,17.7,5637967872,26256531456,15,153092096,1645674496,17102733312,55,534773760,1617821696,6442319872
7002,18.9,5637967872,26256531456,21,153092096,1645674496,17102733312,61,534773760,1617821696,6442319872
7121,17.7,5637967872,26256531456,15,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
7251,14.1,5637967872,26256531456,15,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
7361,23.3,5637967872,26256531456,14,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
7485,14.6,5637967872,26256531456,14,153092096,1645674496,17102733312,48,534773760,1617821696,6442319872
7599,18.1,5637967872,26256531456,28,153092096,1645674496,17102733312,48,534773760,1617821696,6442319872
7703,16.6,5637967872,26256531456,19,153092096,1645674496,17102733312,64,534773760,1617821696,6442319872
7824,17.3,5637967872,26256531456,19,153092096,1645674496,17102733312,51,534773760,1617821696,6442319872
7948,14.8,5637967872,26256531456,14,153092096,1645674496,17102733312,52,534773760,1617821696,6442319872
8066,17.7,5637967872,26256531456,14,153092096,1645674496,17102733312,52,534773760,1617821696,6442319872
8171,17.1,5637967872,26256531456,19,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
8284,16.2,5637967872,26256531456,19,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
8417,15.7,5637967872,26256531456,18,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
8524,16.8,5637967872,26256531456,26,153092096,1645674496,17102733312,55,534773760,1617821696,6442319872
8647,16.6,5637959680,26256531456,26,153092096,1645674496,17102733312,55,534773760,1617821696,6442319872
8779,15.0,5637959680,26256531456,15,153092096,1645674496,17102733312,55,534773760,1617821696,6442319872
8891,12.4,5637959680,26256531456,15,153092096,1645674496,17102733312,51,534773760,1617821696,6442319872
9019,11.7,5637959680,26256531456,14,153092096,1645674496,17102733312,53,534773760,1617821696,6442319872
9139,13.3,5638217728,26256531456,19,153092096,1645674496,17102733312,50,534773760,1617821696,6442319872
9250,13.0,5638217728,26256531456,19,153092096,1645674496,17102733312,50,534773760,1617821696,6442319872
9357,11.2,5638217728,26256531456,17,153092096,1645674496,17102733312,55,534773760,1617821696,6442319872
9464,12.4,5638217728,26256531456,17,153092096,1645674496,17102733312,55,534773760,1617821696,6442319872
9566,13.9,5638217728,26256531456,17,153092096,1645674496,17102733312,60,534773760,1617821696,6442319872
9682,12.0,5638217728,26256531456,17,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
9807,12.5,5638217728,26256531456,12,153092096,1645674496,17102733312,49,534773760,1617821696,6442319872
9939,11.4,5638217728,26256531456,14,153092096,1645674496,17102733312,49,534773760,1617821696,6442319872
10051,12.9,5638217728,26256531456,14,153092096,1645674496,17102733312,53,534773760,1617821696,6442319872
10155,13.2,5638475776,26256531456,13,153092096,1645674496,17102733312,57,534773760,1617821696,6442319872
10286,12.5,5638733824,26256531456,13,153092096,1645674496,17102733312,57,534773760,1617821696,6442319872
10392,16.2,5638991872,26256531456,19,153092096,1645674496,17102733312,59,534773760,1617821696,6442319872
10529,12.3,5638991872,26256531456,17,153092096,1645674496,17102733312,56,534773760,1617821696,6442319872
10633,14.3,5638991872,26256531456,17,153092096,1645674496,17102733312,56,534773760,1617821696,6442319872
10764,11.9,5638991872,26256531456,19,153092096,1645674496,17102733312,60,534773760,1617821696,6442319872
10876,12.8,5638991872,26256531456,19,153092096,1645674496,17102733312,71,534773760,1617821696,6442319872
10988,14.0,5640630272,26256531456,18,153092096,1645674496,17102733312,61,534773760,1617821696,6442319872
11118,12.1,5640888320,26256531456,18,153092096,1645674496,17102733312,61,534773760,1617821696,6442319872
11228,13.3,5640888320,26256531456,18,153092096,1645674496,17102733312,57,534773760,1617821696,6442319872
11360,13.9,5640888320,26256531456,19,153092096,1645674496,17102733312,63,534773760,1617821696,6442319872
11485,13.5,5640888320,26256531456,19,153092096,1645674496,17102733312,63,534773760,1617821696,6442319872
11598,12.8,5640888320,26256531456,20,153092096,1645674496,17102733312,49,534773760,1617821696,6442319872
11724,12.3,5640888320,26256531456,18,153092096,1645674496,17102733312,54,534773760,1617821696,6442319872
11858,12.6,5640888320,26256531456,18,153092096,1645674496,17102733312,50,534773760,1617821696,6442319872
11960,11.0,5640888320,26256531456,17,153092096,1645674496,17102733312,50,534773760,1617821696,6442319872
12081,12.2,5640888320,26256531456,17,153092096,1645674496,17102733312,46,534773760,1617821696,6442319872
12221,12.2,5640888320,26256531456,16,153092096,1645674496,17102733312,59,534773760,1617821696,6442319872
12342,13.0,5640888320,26256531456,18,153092096,1645674496,17102733312,53,534773760,1617821696,6442319872
12462,12.1,5640888320,26256531456,18,153092096,1645674496,17102733312,53,534773760,1617821696,6442319872
12610,12.2,5640888320,26256531456,15,153092096,1645674496,17102733312,48,176160768,1259208704,6442319872
12749,12.6,5641404416,26256531456,22,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
12862,15.4,5641920512,26256531456,22,153092096,1645674496,17102733312,42,150994944,1234042880,6442319872
12970,12.7,5641920512,26256531456,19,153092096,1645674496,17102733312,42,150994944,1234042880,6442319872
13079,15.8,5641920512,26256531456,19,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
13185,21.2,5642178560,26256531456,22,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
13297,14.0,5642178560,26256531456,22,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
13421,16.0,5640630272,26256531456,18,153092096,1645674496,17102733312,39,150994944,1234042880,6442319872
13524,15.4,5640630272,26256531456,35,153092096,1645674496,17102733312,27,148897792,1183711232,6442319872
13627,12.9,5639856128,26256531456,35,153092096,1645674496,17102733312,27,150994944,1234042880,6442319872
13750,12.8,5639852032,26256531456,21,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
13855,14.4,5639852032,26256531456,21,153092096,1645674496,17102733312,47,150994944,1234042880,6442319872
13958,13.9,5639852032,26256531456,31,153092096,1645674496,17102733312,47,52428800,1135476736,6442319872
14068,18.1,5641285632,26256531456,31,153092096,1645674496,17102733312,39,150994944,1234042880,6442319872
14174,21.9,5641129984,26256531456,22,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
14283,13.7,5641129984,26256531456,22,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
14398,12.0,5640871936,26256531456,19,153092096,1645674496,17102733312,52,150994944,1234042880,6442319872
14508,13.8,5640871936,26256531456,26,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
14611,10.3,5640871936,26256531456,26,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
14721,14.6,5642420224,26256531456,27,153092096,1645674496,17102733312,36,150994944,1234042880,6442319872
14836,12.6,5642420224,26256531456,27,153092096,1645674496,17102733312,48,150994944,1234042880,6442319872
14938,14.6,5642420224,26256531456,18,153092096,1645674496,17102733312,48,150994944,1234042880,6442319872
15050,14.2,5642420224,26256531456,18,153092096,1645674496,17102733312,65,150994944,1234042880,6442319872
15164,15.1,5642420224,26256531456,21,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
15272,14.6,5642420224,26256531456,21,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
15388,13.5,5642420224,26256531456,19,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
15496,14.0,5642420224,26256531456,25,153092096,1645674496,17102733312,45,150994944,1234042880,6442319872
15600,15.6,5642420224,26256531456,25,153092096,1645674496,17102733312,45,150994944,1234042880,6442319872
15714,12.2,5642420224,26256531456,23,153092096,1645674496,17102733312,43,150994944,1234042880,6442319872
15816,14.1,5642420224,26256531456,23,153092096,1645674496,17102733312,43,150994944,1234042880,6442319872
15933,12.4,5642420224,26256531456,24,153092096,1645674496,17102733312,47,150994944,1234042880,6442319872
16042,16.2,5642936320,26256531456,24,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
16165,15.1,5642936320,26256531456,20,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
16272,15.7,5642936320,26256531456,20,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
16386,15.2,5642936320,26256531456,16,153092096,1645674496,17102733312,59,150994944,1234042880,6442319872
16489,15.5,5642936320,26256531456,29,153092096,1645674496,17102733312,59,150994944,1234042880,6442319872
16592,14.6,5642936320,26256531456,29,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
16708,12.5,5642936320,26256531456,29,153092096,1645674496,17102733312,43,150994944,1234042880,6442319872
16811,14.1,5642936320,26256531456,29,153092096,1645674496,17102733312,43,150994944,1234042880,6442319872
16925,14.1,5642936320,26256531456,19,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
17043,17.7,5643452416,26256531456,19,153092096,1645674496,17102733312,47,150994944,1234042880,6442319872
17153,14.3,5643452416,26256531456,18,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
17270,15.8,5643452416,26256531456,18,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
17375,13.7,5643452416,26256531456,23,153092096,1645674496,17102733312,55,150994944,1234042880,6442319872
17491,13.6,5643452416,26256531456,23,153092096,1645674496,17102733312,55,150994944,1234042880,6442319872
17599,14.5,5643452416,26256531456,23,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
17711,13.4,5643452416,26256531456,16,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
17813,15.2,5643452416,26256531456,16,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
17916,13.9,5643452416,26256531456,26,153092096,1645674496,17102733312,46,150994944,1234042880,6442319872
18028,17.1,5643448320,26256531456,26,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
18136,15.0,5643448320,26256531456,24,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
18247,14.2,5643448320,26256531456,24,153092096,1645674496,17102733312,51,150994944,1234042880,6442319872
18365,14.8,5643448320,26256531456,27,153092096,1645674496,17102733312,40,150994944,1234042880,6442319872
18487,14.9,5643448320,26256531456,20,153092096,1645674496,17102733312,40,150994944,1234042880,6442319872
18596,13.8,5643448320,26256531456,20,153092096,1645674496,17102733312,40,150994944,1234042880,6442319872
18698,14.1,5643448320,26256531456,37,153092096,1645674496,17102733312,29,150994944,1234042880,6442319872
18803,13.9,5643448320,26256531456,37,153092096,1645674496,17102733312,29,150994944,1234042880,6442319872
18906,15.9,5643448320,26256531456,39,153092096,1645674496,17102733312,30,150994944,1234042880,6442319872
19012,14.2,5643964416,26256531456,39,153092096,1645674496,17102733312,21,150994944,1234042880,6442319872
19126,15.3,5643964416,26256531456,28,153092096,1645674496,17102733312,21,150994944,1234042880,6442319872
19233,14.1,5643964416,26256531456,28,153092096,1645674496,17102733312,43,150994944,1234042880,6442319872
19338,14.7,5643964416,26256531456,30,153092096,1645674496,17102733312,39,150994944,1234042880,6442319872
19454,14.2,5643591680,26256531456,30,153092096,1645674496,17102733312,39,150994944,1234042880,6442319872
19565,16.7,5643591680,26256531456,18,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
19670,14.8,5643591680,26256531456,29,153092096,1645674496,17102733312,29,150994944,1234042880,6442319872
19789,13.5,5643591680,26256531456,29,153092096,1645674496,17102733312,29,150994944,1234042880,6442319872
19897,15.3,5643591680,26256531456,18,153092096,1645674496,17102733312,51,150994944,1234042880,6442319872
20007,16.5,5643591680,26256531456,18,153092096,1645674496,17102733312,44,150994944,1234042880,6442319872
20109,15.2,5643591680,26256531456,23,153092096,1645674496,17102733312,44,150994944,1234042880,6442319872
20219,13.8,5643591680,26256531456,23,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
20321,14.4,5643591680,26256531456,25,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
20424,16.8,5643591680,26256531456,25,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
20531,12.9,5643591680,26256531456,22,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
20647,13.7,5643591680,26256531456,22,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
20756,14.5,5643591680,26256531456,22,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
20862,13.7,5643591680,26256531456,24,153092096,1645674496,17102733312,64,150994944,1234042880,6442319872
20967,12.6,5643591680,26256531456,24,153092096,1645674496,17102733312,64,150994944,1234042880,6442319872
21070,17.8,5644107776,26256531456,23,153092096,1645674496,17102733312,59,150994944,1234042880,6442319872
21181,13.1,5644107776,26256531456,23,153092096,1645674496,17102733312,55,150994944,1234042880,6442319872
21295,14.1,5644107776,26256531456,22,153092096,1645674496,17102733312,55,150994944,1234042880,6442319872
21400,17.0,5644107776,26256531456,22,153092096,1645674496,17102733312,42,150994944,1234042880,6442319872
21516,16.3,5644107776,26256531456,23,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
21624,13.8,5644107776,26256531456,23,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
21727,13.4,5644107776,26256531456,21,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
21833,15.3,5644107776,26256531456,21,153092096,1645674496,17102733312,60,150994944,1234042880,6442319872
21938,13.1,5644107776,26256531456,23,153092096,1645674496,17102733312,60,150994944,1234042880,6442319872
22049,17.1,5644107776,26256531456,20,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
22171,14.4,5644107776,26256531456,20,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
22275,13.3,5644107776,26256531456,18,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
22388,15.2,5644107776,26256531456,18,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
22499,15.4,5650300928,26256531456,18,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
22614,19.6,5652623360,26256531456,18,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
22716,13.4,5653139456,26256531456,20,153092096,1645674496,17102733312,45,150994944,1234042880,6442319872
22820,13.3,5653139456,26256531456,20,153092096,1645674496,17102733312,45,150994944,1234042880,6442319872
22925,15.1,5652766720,26256531456,22,153092096,1645674496,17102733312,52,150994944,1234042880,6442319872
23042,16.1,5652766720,26256531456,20,153092096,1645674496,17102733312,55,150994944,1234042880,6442319872
23151,15.5,5650903040,26256531456,20,153092096,1645674496,17102733312,55,150994944,1234042880,6442319872
23262,13.1,5650903040,26256531456,26,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
23369,15.7,5650903040,26256531456,26,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
23487,15.2,5648322560,26256531456,19,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
23592,12.9,5648322560,26256531456,19,153092096,1645674496,17102733312,62,150994944,1234042880,6442319872
23701,13.3,5648322560,26256531456,21,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
23812,14.1,5648322560,26256531456,21,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
23919,14.8,5648322560,26256531456,22,153092096,1645674496,17102733312,55,150994944,1234042880,6442319872
24033,16.6,5649612800,26256531456,22,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
24139,20.0,5649870848,26256531456,21,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
24257,13.4,5649870848,26256531456,19,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
24370,14.4,5649870848,26256531456,19,153092096,1645674496,17102733312,52,150994944,1234042880,6442319872
24478,13.5,5649612800,26256531456,23,153092096,1645674496,17102733312,52,150994944,1234042880,6442319872
24586,14.5,5649612800,26256531456,23,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
24701,13.1,5649612800,26256531456,28,153092096,1645674496,17102733312,62,150994944,1234042880,6442319872
24823,14.4,5649612800,26256531456,28,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
24933,16.3,5649604608,26256531456,23,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
25035,14.7,5652185088,26256531456,27,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
25143,9.3,5652230144,26256531456,27,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
25246,12.7,5652733952,26256531456,39,153092096,1645674496,17102733312,0,148897792,1231945728,6442319872
25352,15.4,5652733952,26256531456,39,153092096,1645674496,17102733312,19,150994944,1234042880,6442319872
25457,15.5,5652733952,26256531456,38,153092096,1645674496,17102733312,19,150994944,1234042880,6442319872
25573,17.6,5652733952,26256531456,38,153092096,1645674496,17102733312,49,150994944,1234042880,6442319872
25696,13.3,5652733952,26256531456,23,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
25820,15.1,5652733952,26256531456,23,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
25927,13.4,5652733952,26256531456,21,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
26037,14.5,5653766144,26256531456,21,153092096,1645674496,17102733312,54,150994944,1234042880,6442319872
26143,16.5,5653766144,26256531456,21,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
26254,14.8,5653766144,26256531456,27,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
26369,16.2,5653766144,26256531456,27,153092096,1645674496,17102733312,60,150994944,1234042880,6442319872
26472,15.2,5653766144,26256531456,22,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
26595,14.0,5653766144,26256531456,22,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
26707,14.1,5653766144,26256531456,27,153092096,1645674496,17102733312,52,150994944,1234042880,6442319872
26817,15.9,5653766144,26256531456,27,153092096,1645674496,17102733312,48,150994944,1234042880,6442319872
26921,13.6,5653766144,26256531456,22,153092096,1645674496,17102733312,48,150994944,1234042880,6442319872
27042,18.2,5654798336,26256531456,19,153092096,1645674496,17102733312,52,150994944,1234042880,6442319872
27147,15.0,5654798336,26256531456,19,153092096,1645674496,17102733312,44,150994944,1234042880,6442319872
27257,16.4,5654798336,26256531456,23,153092096,1645674496,17102733312,44,150994944,1234042880,6442319872
27374,12.8,5654798336,26256531456,23,153092096,1645674496,17102733312,50,150994944,1234042880,6442319872
27488,15.9,5654798336,26256531456,26,153092096,1645674496,17102733312,65,150994944,1234042880,6442319872
27590,16.6,5654798336,26256531456,26,153092096,1645674496,17102733312,65,150994944,1234042880,6442319872
27698,14.0,5654798336,26256531456,31,153092096,1645674496,17102733312,58,150994944,1234042880,6442319872
27818,14.7,5654798336,26256531456,22,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
27924,14.9,5654798336,26256531456,22,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
28030,17.5,5655830528,26256531456,21,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
28147,13.4,5655830528,26256531456,21,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
28256,15.0,5655830528,26256531456,26,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
28372,13.4,5655830528,26256531456,26,153092096,1645674496,17102733312,53,150994944,1234042880,6442319872
28478,13.7,5655830528,26256531456,23,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
28582,13.8,5655830528,26256531456,23,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
28689,15.3,5655830528,26256531456,22,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
28796,13.5,5655830528,26256531456,22,153092096,1645674496,17102733312,57,150994944,1234042880,6442319872
28902,14.1,5656346624,26256531456,20,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
